Num,Keywords,Which_Website,Which_Search_Engine,Weights_for_currentSearchEngine,Ranking,Grades_Converted_for_Ranking,Weights_of_the_Keywords,Link_to_Screendump,Orignial_URL,Reporting_date
1,Data scientist website,https://www.kaggle.com,Google,85,1,100,50,https://drive.google.com/open?id=0B5lUye8ERPaubnpxUTc3aEUwaEk,NotKnown,9/29/2016
2,Data scientist website,http://www.kdnuggets.com,Google,85,3,70,50,https://drive.google.com/open?id=0B5lUye8ERPaubnpxUTc3aEUwaEk,NotKnown,9/29/2016
3,Data scientist website,https://www.datacamp.com/,Google,85,4,60,50,https://drive.google.com/open?id=0B5lUye8ERPaubnpxUTc3aEUwaEk,NotKnown,9/29/2016
4,Data scientist website,http://stats.stackexchange.com/,Google,85,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPaubnpxUTc3aEUwaEk,NotKnown,9/29/2016
5,Data scientist website,http://www.datasciencecentral.com/,Google,85,0,0,50,https://drive.google.com/open?id=0B5lUye8ERPaubnpxUTc3aEUwaEk,NotKnown,9/29/2016
6,Dat science website,https://www.kaggle.com,Google,85,1,100,50,https://drive.google.com/file/d/0B5lUye8ERPaueFV1akZ2blhPY2c/view,NotKnown,9/29/2016
7,Dat science website,http://www.kdnuggets.com,Google,85,3,70,50,https://drive.google.com/file/d/0B5lUye8ERPaueFV1akZ2blhPY2c/view,NotKnown,9/29/2016
8,Dat science website,https://www.datacamp.com/,Google,85,4,60,50,https://drive.google.com/file/d/0B5lUye8ERPaueFV1akZ2blhPY2c/view,NotKnown,9/29/2016
9,Dat science website,http://stats.stackexchange.com/,Google,85,0,0,50,https://drive.google.com/file/d/0B5lUye8ERPaueFV1akZ2blhPY2c/view,NotKnown,9/29/2016
10,Dat science website,http://www.datasciencecentral.com/,Google,85,0,0,50,https://drive.google.com/file/d/0B5lUye8ERPaueFV1akZ2blhPY2c/view,NotKnown,9/29/2016
11,machine learning website,https://www.kaggle.com,Google,85,5,50,20,https://drive.google.com/open?id=0B5lUye8ERPaubGc2SWpWRm5Mbk0,NotKnown,9/29/2016
12,machine learning website,http://www.kdnuggets.com,Google,85,0,0,20,https://drive.google.com/open?id=0B5lUye8ERPaubGc2SWpWRm5Mbk0,NotKnown,9/29/2016
13,machine learning website,https://www.datacamp.com/,Google,85,0,0,20,https://drive.google.com/open?id=0B5lUye8ERPaubGc2SWpWRm5Mbk0,NotKnown,9/29/2016
14,machine learning website,http://stats.stackexchange.com/,Google,85,0,0,20,https://drive.google.com/open?id=0B5lUye8ERPaubGc2SWpWRm5Mbk0,NotKnown,9/29/2016
15,machine learning website,http://www.datasciencecentral.com/,Google,85,0,0,20,https://drive.google.com/open?id=0B5lUye8ERPaubGc2SWpWRm5Mbk0,NotKnown,9/29/2016
16,data mining website,https://www.kaggle.com,Google,85,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauTnRtZkR1bmR5ZEk,NotKnown,9/29/2016
17,data mining website,http://www.kdnuggets.com,Google,85,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauTnRtZkR1bmR5ZEk,NotKnown,9/29/2016
18,data mining website,https://www.datacamp.com/,Google,85,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauTnRtZkR1bmR5ZEk,NotKnown,9/29/2016
19,data mining website,http://stats.stackexchange.com/,Google,85,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauTnRtZkR1bmR5ZEk,NotKnown,9/29/2016
20,data mining website,http://www.datasciencecentral.com/,Google,85,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauTnRtZkR1bmR5ZEk,NotKnown,9/29/2016
21,deep learning website,https://www.kaggle.com,Google,85,0,0,10,https://drive.google.com/open?id=0B5lUye8ERPauZ2o2N3RGMEJjbjg,NotKnown,9/29/2016
